cosine (COM),scatter angle (COM),sine (COM),tan (COM),cos + 1/A,ratio,scatter angle (LAB),E= 1.000069 MeV - angular differential XS (b/sr),E=1 eV - Angular  differential XS (b/sr),E=998 keV - angular distribution (1/sr),E=45.81 keV - Angular ddistribution (1/sr),1 MeV cross section (barn),Ef/Ei
-1,180,1.22515E-16,6.80638E-19,-0.982142857,-1.24742E-16,180,0.172511325,0.958910748,0.655755,0.4769,3.801228692,0.964912281
-0.99,171.8903855,0.14106736,0.000820682,-0.972142857,-0.145109701,171.7434569,0.171348932,0.958910694,0.650571238,0.475606379,3.796762731,0.965087719
-0.98,168.521659,0.198997487,0.001180842,-0.962142857,-0.206827381,168.3144314,0.170203293,0.958910643,0.645479801,0.474376537,3.792404904,0.965263158
-0.97,165.9301323,0.243104916,0.001465104,-0.952142857,-0.255323992,165.6770195,0.169073804,0.958910594,0.640477659,0.473209017,3.788154311,0.965438596
-0.96,163.7397953,0.28,0.00171003,-0.942142857,-0.297194845,163.4483222,0.167959875,0.958910547,0.635561836,0.472102379,3.784009938,0.965614035
-0.95,161.8051277,0.3122499,0.00192979,-0.932142857,-0.334980736,161.4801429,0.166860929,0.958910503,0.630729416,0.4710552,3.779970661,0.965789474
-0.94,160.0515564,0.341174442,0.002131653,-0.922142857,-0.36998003,159.6965327,0.165776403,0.958910462,0.625977541,0.47006607,3.776035244,0.965964912
-0.93,158.434815,0.367559519,0.002319942,-0.912142857,-0.402962668,158.0524054,0.164705748,0.958910423,0.62130341,0.469133597,3.772202349,0.966140351
-0.92,156.9260819,0.391918359,0.002497471,-0.902142857,-0.434430485,156.5184042,0.163648429,0.958910386,0.616704281,0.468256406,3.768470531,0.966315789
-0.91,155.5053515,0.414608249,0.002666199,-0.892142857,-0.464733025,155.0741507,0.162603923,0.958910352,0.612177469,0.467433136,3.764838249,0.966491228
-0.9,154.1580672,0.435889894,0.002827552,-0.882142857,-0.494126196,153.7048162,0.161571723,0.95891032,0.607720345,0.466662444,3.761303859,0.966666667
-0.89,152.8732469,0.455960525,0.002982605,-0.872142857,-0.52280486,152.3992128,0.160551335,0.958910289,0.603330341,0.465943001,3.757865628,0.966842105
-0.88,151.6423634,0.474973683,0.003132197,-0.862142857,-0.550922251,151.1486531,0.159542277,0.958910261,0.599004946,0.465273496,3.754521725,0.967017544
-0.87,150.4586395,0.493051721,0.003276992,-0.852142857,-0.578602188,149.9462319,0.158544084,0.958910235,0.594741705,0.464652633,3.751270235,0.967192982
-0.86,149.3165829,0.510294033,0.003417531,-0.842142857,-0.605947113,148.7863533,0.157556303,0.958910211,0.590538222,0.464079133,3.748109153,0.967368421
-0.85,148.2116694,0.526782688,0.003554259,-0.832142857,-0.633043573,147.6644072,0.156578494,0.958910189,0.58639216,0.463551731,3.745036392,0.96754386
-0.84,147.1401196,0.542586399,0.003687549,-0.822142857,-0.65996608,146.5765426,0.155610233,0.958910169,0.582301237,0.46306918,3.742049781,0.967719298
-0.83,146.098738,0.557763391,0.003817715,-0.812142857,-0.686779901,145.5195029,0.154651106,0.958910151,0.578263232,0.462630249,3.739147074,0.967894737
-0.82,145.0847938,0.572363521,0.003945028,-0.802142857,-0.713543125,144.4905053,0.153700718,0.958910134,0.57427598,0.462233722,3.736325946,0.968070175
-0.81,144.0959314,0.586429876,0.004069718,-0.792142857,-0.74030823,143.4871492,0.152758682,0.958910119,0.570337373,0.4618784,3.733583999,0.968245614
-0.8,143.1301024,0.6,0.00419199,-0.782142857,-0.767123288,142.5073467,0.15182463,0.958910106,0.566445363,0.4615631,3.730918764,0.968421053
-0.79,142.1855115,0.613106842,0.004312021,-0.772142857,-0.794032913,141.5492682,0.150898205,0.958910095,0.562597958,0.461286654,3.728327702,0.968596491
-0.78,141.2605754,0.625779514,0.004429966,-0.762142857,-0.821079025,140.6113,0.149979063,0.958910085,0.558793224,0.461047911,3.725808207,0.96877193
-0.77,140.3538889,0.638043886,0.004545965,-0.752142857,-0.848301462,139.6920095,0.149066876,0.958910076,0.555029287,0.460845736,3.723357609,0.968947368
-0.76,139.4641979,0.649923072,0.004660143,-0.742142857,-0.8757385,138.7901188,0.148161328,0.958910069,0.551304329,0.460679011,3.720973175,0.969122807
-0.75,138.5903779,0.661437828,0.00477261,-0.732142857,-0.903427277,137.9044813,0.147262119,0.958910064,0.547616588,0.460546631,3.71865211,0.969298246
-0.74,137.7314156,0.672606869,0.004883467,-0.722142857,-0.93140417,137.0340643,0.146368959,0.958910059,0.543964364,0.46044751,3.71639156,0.969473684
-0.73,136.8863941,0.683447145,0.004992806,-0.712142857,-0.959705118,136.177933,0.145481575,0.958910057,0.54034601,0.460380578,3.714188614,0.969649123
-0.72,136.0544804,0.693974063,0.005100707,-0.702142857,-0.988365909,135.3352385,0.144599707,0.958910055,0.536759942,0.460344779,3.712040305,0.969824561
-0.71,135.2349153,0.704201676,0.005207248,-0.692142857,-1.017422442,134.5052065,0.143723109,0.958910055,0.53320463,0.460339075,3.709943612,0.97
-0.7,134.427004,0.714142843,0.005312495,-0.682142857,-1.046910974,133.6871288,0.142851547,0.958910056,0.529678603,0.460362444,3.707895461,0.970175439
-0.69,133.6301089,0.723809367,0.005416514,-0.672142857,-1.076868346,132.8803556,0.141984803,0.958910058,0.526180447,0.460413878,3.705892724,0.970350877
-0.68,132.843643,0.733212111,0.005519362,-0.662142857,-1.107332207,132.0842884,0.141122671,0.958910061,0.522708808,0.460492387,3.703932227,0.970526316
-0.67,132.0670648,0.742361098,0.005621092,-0.652142857,-1.138341224,131.298375,0.14026496,0.958910066,0.519262388,0.460596996,3.702010743,0.970701754
-0.66,131.2998728,0.751265599,0.005721754,-0.642142857,-1.169935304,130.5221044,0.139411492,0.958910071,0.515839947,0.460726748,3.700124999,0.970877193
-0.65,130.5416019,0.759934208,0.005821395,-0.632142857,-1.202155809,129.7550023,0.138562104,0.958910078,0.512440304,0.4608807,3.698271672,0.971052632
-0.64,129.7918195,0.768374908,0.005920057,-0.622142857,-1.235045777,128.9966278,0.137716645,0.958910085,0.509062333,0.461057925,3.696447396,0.97122807
-0.63,129.0501225,0.776595133,0.006017779,-0.612142857,-1.268650158,128.24657,0.136874978,0.958910093,0.505704969,0.461257514,3.694648758,0.971403509
-0.62,128.3161345,0.78460181,0.0061146,-0.602142857,-1.303016054,127.504445,0.136036982,0.958910103,0.502367203,0.461478572,3.692872299,0.971578947
-0.61,127.589503,0.792401413,0.006210553,-0.592142857,-1.338192978,126.7698937,0.135202547,0.958910113,0.499048084,0.461720221,3.691114518,0.971754386
-0.6,126.8698976,0.8,0.006305672,-0.582142857,-1.374233129,126.0425793,0.134371578,0.958910124,0.49574672,0.4619816,3.689371869,0.971929825
-0.59,126.1570082,0.807403245,0.006399987,-0.572142857,-1.411191689,125.3221855,0.133543994,0.958910135,0.492462275,0.462261862,3.687640764,0.972105263
-0.58,125.4505426,0.814616474,0.006493527,-0.562142857,-1.449127146,124.6084148,0.132719727,0.958910148,0.489193973,0.462560178,3.685917572,0.972280702
-0.57,124.7502258,0.821644692,0.006586318,-0.552142857,-1.488101642,123.9009866,0.131898723,0.958910161,0.485941093,0.462875733,3.68419862,0.97245614
-0.56,124.0557977,0.828492607,0.006678387,-0.542142857,-1.528181357,123.1996362,0.131080942,0.958910175,0.482702974,0.46320773,3.682480196,0.972631579
-0.55,123.367013,0.835164654,0.006769757,-0.532142857,-1.569436934,122.5041132,0.130266359,0.958910189,0.479479012,0.463555387,3.680758544,0.972807018
-0.54,122.6836388,0.841665017,0.00686045,-0.522142857,-1.611943944,121.8141807,0.129454959,0.958910205,0.476268662,0.463917939,3.679029871,0.972982456
-0.53,122.0054548,0.847997642,0.00695049,-0.512142857,-1.6557834,121.1296138,0.128646745,0.95891022,0.473071434,0.464294636,3.677290343,0.973157895
-0.52,121.3322515,0.85416626,0.007039895,-0.502142857,-1.701042339,120.4501993,0.127841732,0.958910237,0.469886899,0.464684745,3.675536086,0.973333333
-0.51,120.6638297,0.860174401,0.007128685,-0.492142857,-1.747814458,119.7757343,0.127039948,0.958910254,0.466714683,0.465087548,3.67376319,0.973508772
-0.5,120,0.866025404,0.007216878,-0.482142857,-1.796200837,119.1060257,0.126241435,0.958910271,0.463554473,0.465502344,3.671967706,0.973684211
-0.49,119.3405816,0.871722433,0.007304493,-0.472142857,-1.84631075,118.4408894,0.12544625,0.958910289,0.46040601,0.465928447,3.670145651,0.973859649
-0.48,118.685402,0.877268488,0.007391545,-0.462142857,-1.898262571,117.7801499,0.124654464,0.958910307,0.457269097,0.466365189,3.668293002,0.974035088
-0.47,118.0342965,0.882666415,0.00747805,-0.452142857,-1.952184804,117.1236392,0.123866159,0.958910326,0.454143591,0.466811916,3.666405706,0.974210526
-0.46,117.3871075,0.887918915,0.007564024,-0.442142857,-2.008217256,116.4711969,0.123081433,0.958910345,0.451029408,0.467267991,3.664479674,0.974385965
-0.45,116.743684,0.893028555,0.007649481,-0.432142857,-2.066512359,115.8226694,0.122300397,0.958910364,0.447926524,0.467732793,3.662510787,0.974561404
-0.44,116.1038811,0.897997773,0.007734434,-0.422142857,-2.127236687,115.1779092,0.121523177,0.958910384,0.444834971,0.468205718,3.660494895,0.974736842
-0.43,115.4675601,0.902828887,0.007818896,-0.412142857,-2.190572691,114.5367749,0.120749912,0.958910404,0.441754837,0.468686175,3.65842782,0.974912281
-0.42,114.8345875,0.907524104,0.007902881,-0.402142857,-2.256720686,113.8991308,0.119980753,0.958910425,0.438686271,0.469173594,3.656305359,0.975087719
-0.41,114.2048348,0.912085522,0.0079864,-0.392142857,-2.32590115,113.2648463,0.119215868,0.958910445,0.435629479,0.469667415,3.654123284,0.975263158
-0.4,113.5781785,0.916515139,0.008069465,-0.382142857,-2.398357373,112.6337955,0.118455436,0.958910466,0.432584723,0.4701671,3.651877349,0.975438596
-0.39,112.9544994,0.920814857,0.008152087,-0.372142857,-2.47435854,112.0058574,0.117699651,0.958910487,0.429552324,0.470672123,3.649563287,0.975614035
-0.38,112.3336827,0.924986486,0.008234275,-0.362142857,-2.554203315,111.380915,0.116948721,0.958910509,0.426532662,0.471181976,3.647176819,0.975789474
-0.37,111.7156173,0.929031754,0.008316042,-0.352142857,-2.638224048,110.7588556,0.116202866,0.95891053,0.423526174,0.471696166,3.644713656,0.975964912
-0.36,111.100196,0.932952303,0.008397396,-0.342142857,-2.7267917,110.1395702,0.115462324,0.958910552,0.420533354,0.472214217,3.642169503,0.976140351
-0.35,110.4873151,0.9367497,0.008478346,-0.332142857,-2.820321677,109.5229533,0.114727341,0.958910574,0.417554753,0.472735668,3.639540063,0.976315789
-0.34,109.8768741,0.940425436,0.008558902,-0.322142857,-2.919280731,108.9089028,0.113998181,0.958910596,0.414590984,0.473260076,3.636821045,0.976491228
-0.33,109.2687755,0.943980932,0.008639073,-0.312142857,-3.024195206,108.2973198,0.11327512,0.958910618,0.411642712,0.473787011,3.634008167,0.976666667
-0.32,108.6629249,0.947417543,0.008718867,-0.302142857,-3.135660897,107.6881083,0.112558449,0.95891064,0.408710665,0.474316063,3.631097166,0.976842105
-0.31,108.0592305,0.950736557,0.008798291,-0.292142857,-3.254354961,107.0811752,0.111848471,0.958910662,0.405795625,0.474846833,3.6280838,0.977017544
-0.3,107.4576031,0.953939201,0.008877354,-0.282142857,-3.381050334,106.4764299,0.111145504,0.958910684,0.402898435,0.475378944,3.624963862,0.977192982
-0.29,106.857956,0.957026645,0.008956064,-0.272142857,-3.516633343,105.8737845,0.110449879,0.958910707,0.400019993,0.47591203,3.621733184,0.977368421
-0.28,106.2602047,0.96,0.009034426,-0.262142857,-3.662125341,105.2731533,0.109761942,0.958910729,0.397161257,0.476445743,3.618387648,0.97754386
-0.27,105.6642669,0.962860322,0.00911245,-0.252142857,-3.818709493,104.6744527,0.109082052,0.958910752,0.39432324,0.476979753,3.614923194,0.977719298
-0.26,105.0700621,0.965608616,0.00919014,-0.242142857,-3.987764197,104.0776013,0.108410581,0.958910774,0.391507017,0.477513742,3.611335835,0.977894737
-0.25,104.4775122,0.968245837,0.009267505,-0.232142857,-4.170905142,103.4825198,0.107747916,0.958910796,0.388713717,0.478047412,3.607621666,0.978070175
-0.24,103.8865404,0.970772888,0.009344549,-0.222142857,-4.370038724,102.8891306,0.107094457,0.958910819,0.385944529,0.478580479,3.603776874,0.978245614
-0.23,103.2970717,0.973190629,0.00942128,-0.212142857,-4.587430574,102.2973576,0.106450619,0.958910841,0.383200698,0.479112674,3.599797757,0.978421053
-0.22,102.709033,0.975499872,0.009497703,-0.202142857,-4.825794419,101.7071268,0.105816828,0.958910863,0.380483529,0.479643747,3.595680735,0.978596491
-0.21,102.1223522,0.977701386,0.009573824,-0.192142857,-5.0884087,101.1183653,0.105193526,0.958910885,0.377794383,0.480173462,3.591422364,0.97877193
-0.2,101.536959,0.979795897,0.009649648,-0.182142857,-5.379271592,100.531002,0.10458117,0.958910907,0.37513468,0.4807016,3.587019356,0.978947368
-0.19,100.9527842,0.98178409,0.009725181,-0.172142857,-5.703310068,99.9449669,0.103980227,0.958910929,0.372505897,0.481227957,3.582468593,0.979122807
-0.18,100.3697598,0.98366661,0.009800428,-0.162142857,-6.066666318,99.36019133,0.103391181,0.958910951,0.369909569,0.481752346,3.577767146,0.979298246
-0.17,99.78781906,0.985444062,0.009875394,-0.152142857,-6.477097123,98.77660782,0.102814528,0.958910973,0.36734729,0.482274596,3.572912293,0.979473684
-0.16,99.20689622,0.987117014,0.009950085,-0.142142857,-6.944541809,98.19415001,0.102250778,0.958910995,0.364820709,0.482794552,3.567901542,0.979649123
-0.15,98.62692656,0.988685997,0.010024504,-0.132142857,-7.481948083,97.61275255,0.101700457,0.958911017,0.362331536,0.483312075,3.562732645,0.979824561
-0.14,98.04784625,0.990151504,0.010098656,-0.122142857,-8.106503538,97.03235105,0.1011641,0.958911038,0.359881537,0.483827041,3.557403628,0.98
-0.13,97.46959232,0.991513994,0.010172547,-0.112142857,-8.84152606,96.45288202,0.100642261,0.95891106,0.357472536,0.484339344,3.551912806,0.980175439
-0.12,96.89210258,0.992773892,0.01024618,-0.102142857,-9.719464674,95.87428278,0.100135505,0.958911081,0.355106415,0.484848892,3.546258809,0.980350877
-0.11,96.31531557,0.993931587,0.010319559,-0.092142857,-10.78685443,95.2964914,0.09964441,0.958911102,0.352785114,0.485355612,3.540440605,0.980526316
