cosine (COM),scatter angle (COM),sine (COM),tan (COM),cos + 1/A,ratio,scatter angle (LAB),E= 1 MeV - angular differential XS (b/sr),E=1 eV - Angular  differential XS (b/sr),E=1 MeV - angular distribution (1/sr),E=1 eV - Angular distribution (1/sr),1 MeV cross section (barn),Ef/Ei
-1,180,1.22515E-16,6.80638E-19,0,#DIV/0!,90,0.338605838,1.646850211,0.501047945,0.500000002,1.479738056,0
-0.99,171.8903855,0.14106736,0.000820682,0.01,14.10673598,85.94519277,0.33859944,1.646850211,0.501038478,0.500000002,1.479738056,0.005
-0.98,168.521659,0.198997487,0.001180842,0.02,9.949874371,84.26082952,0.338593033,1.646850211,0.501028996,0.500000002,1.479738056,0.01
-0.97,165.9301323,0.243104916,0.001465104,0.03,8.103497187,82.96506613,0.338586615,1.646850211,0.501019499,0.500000002,1.479738056,0.015
-0.96,163.7397953,0.28,0.00171003,0.04,7,81.86989765,0.338580187,1.646850211,0.501009988,0.500000002,1.479738056,0.02
-0.95,161.8051277,0.3122499,0.00192979,0.05,6.244997998,80.90256383,0.338573749,1.646850211,0.501000462,0.500000002,1.479738056,0.025
-0.94,160.0515564,0.341174442,0.002131653,0.06,5.686240703,80.02577821,0.338567302,1.646850211,0.500990921,0.500000002,1.479738056,0.03
-0.93,158.434815,0.367559519,0.002319942,0.07,5.250850271,79.21740749,0.338560844,1.646850211,0.500981365,0.500000002,1.479738056,0.035
-0.92,156.9260819,0.391918359,0.002497471,0.08,4.898979486,78.46304097,0.338554376,1.64685021,0.500971795,0.500000002,1.479738056,0.04
-0.91,155.5053515,0.414608249,0.002666199,0.09,4.60675832,77.75267576,0.338547899,1.64685021,0.50096221,0.500000002,1.479738056,0.045
-0.9,154.1580672,0.435889894,0.002827552,0.1,4.358898944,77.07903362,0.338541411,1.64685021,0.50095261,0.500000002,1.479738056,0.05
-0.89,152.8732469,0.455960525,0.002982605,0.11,4.145095678,76.43662344,0.338534913,1.64685021,0.500942995,0.500000002,1.479738056,0.055
-0.88,151.6423634,0.474973683,0.003132197,0.12,3.958114029,75.82118171,0.338528406,1.64685021,0.500933365,0.500000002,1.479738056,0.06
-0.87,150.4586395,0.493051721,0.003276992,0.13,3.792705549,75.22931975,0.338521888,1.64685021,0.50092372,0.500000002,1.479738056,0.065
-0.86,149.3165829,0.510294033,0.003417531,0.14,3.644957378,74.65829145,0.33851536,1.64685021,0.500914061,0.500000002,1.479738056,0.07
-0.85,148.2116694,0.526782688,0.003554259,0.15,3.511884584,74.10583469,0.338508822,1.64685021,0.500904387,0.500000002,1.479738056,0.075
-0.84,147.1401196,0.542586399,0.003687549,0.16,3.391164992,73.57005981,0.338502274,1.64685021,0.500894697,0.500000002,1.479738056,0.08
-0.83,146.098738,0.557763391,0.003817715,0.17,3.280961122,73.049369,0.338495716,1.64685021,0.500884993,0.500000002,1.479738056,0.085
-0.82,145.0847938,0.572363521,0.003945028,0.18,3.179797338,72.54239688,0.338489148,1.64685021,0.500875274,0.500000002,1.479738056,0.09
-0.81,144.0959314,0.586429876,0.004069718,0.19,3.086473034,72.04796571,0.33848257,1.64685021,0.50086554,0.500000002,1.479738056,0.095
-0.8,143.1301024,0.6,0.00419199,0.2,3,71.56505118,0.338475982,1.64685021,0.500855791,0.500000002,1.479738056,0.1
-0.79,142.1855115,0.613106842,0.004312021,0.21,2.919556392,71.09275575,0.338469383,1.646850209,0.500846027,0.500000002,1.479738056,0.105
-0.78,141.2605754,0.625779514,0.004429966,0.22,2.844452336,70.6302877,0.338462775,1.646850209,0.500836248,0.500000002,1.479738056,0.11
-0.77,140.3538889,0.638043886,0.004545965,0.23,2.774103851,70.17694443,0.338456156,1.646850209,0.500826454,0.500000002,1.479738056,0.115
-0.76,139.4641979,0.649923072,0.004660143,0.24,2.708012802,69.73209894,0.338449527,1.646850209,0.500816645,0.500000002,1.479738056,0.12
-0.75,138.5903779,0.661437828,0.00477261,0.25,2.645751311,69.29518895,0.338442888,1.646850209,0.500806822,0.500000002,1.479738056,0.125
-0.74,137.7314156,0.672606869,0.004883467,0.26,2.586949496,68.86570779,0.338436239,1.646850209,0.500796983,0.500000002,1.479738056,0.13
-0.73,136.8863941,0.683447145,0.004992806,0.27,2.531285722,68.44319703,0.33842958,1.646850209,0.500787129,0.500000002,1.479738056,0.135
-0.72,136.0544804,0.693974063,0.005100707,0.28,2.478478796,68.02724022,0.338422911,1.646850209,0.50077726,0.500000002,1.479738056,0.14
-0.71,135.2349153,0.704201676,0.005207248,0.29,2.42828164,67.61745766,0.338416231,1.646850209,0.500767376,0.500000002,1.479738056,0.145
-0.7,134.427004,0.714142843,0.005312495,0.3,2.380476143,67.213502,0.338409541,1.646850209,0.500757477,0.500000002,1.479738056,0.15
-0.69,133.6301089,0.723809367,0.005416514,0.31,2.334868926,66.81505443,0.338402841,1.646850209,0.500747563,0.500000002,1.479738056,0.155
-0.68,132.843643,0.733212111,0.005519362,0.32,2.291287847,66.42182152,0.338396131,1.646850209,0.500737634,0.500000002,1.479738056,0.16
-0.67,132.0670648,0.742361098,0.005621092,0.33,2.249579085,66.0335324,0.338389411,1.646850209,0.500727689,0.500000002,1.479738056,0.165
-0.66,131.2998728,0.751265599,0.005721754,0.34,2.209604702,65.6499364,0.338382681,1.646850208,0.50071773,0.500000002,1.479738056,0.17
-0.65,130.5416019,0.759934208,0.005821395,0.35,2.171240593,65.27080094,0.33837594,1.646850208,0.500707755,0.500000002,1.479738056,0.175
-0.64,129.7918195,0.768374908,0.005920057,0.36,2.134374746,64.89590975,0.338369189,1.646850208,0.500697766,0.500000002,1.479738056,0.18
-0.63,129.0501225,0.776595133,0.006017779,0.37,2.098905764,64.52506127,0.338362428,1.646850208,0.500687761,0.500000002,1.479738056,0.185
-0.62,128.3161345,0.78460181,0.0061146,0.38,2.064741605,64.15806724,0.338355656,1.646850208,0.500677741,0.500000001,1.479738056,0.19
-0.61,127.589503,0.792401413,0.006210553,0.39,2.031798496,63.79475148,0.338348875,1.646850208,0.500667706,0.500000001,1.479738056,0.195
-0.6,126.8698976,0.8,0.006305672,0.4,2,63.43494882,0.338342083,1.646850208,0.500657656,0.500000001,1.479738056,0.2
-0.59,126.1570082,0.807403245,0.006399987,0.41,1.969276207,63.0785041,0.33833528,1.646850208,0.50064759,0.500000001,1.479738056,0.205
