cosine (COM),scatter angle (COM),sine (COM),tan (COM),cos + 1/A,ratio,scatter angle (LAB),E= 1MeV - angular distribution (1/sr),E=109.93 eV - Angular distribution (1/sr),E= 1MeV - angular differential XS (b/sr),E=100 eV - Angular differential XS (b/sr)2,1 MeV cross section (barn),100 eV cross section,Ef/Ei
-1,180,1.22515E-16,6.80638E-19,-0.9375,-1.30683E-16,180,1.406706948,0.500045504,1.825317132,0.306544108,1.297581657,0.613032426,0
-0.99,171.8903855,0.14106736,0.000820682,-0.9275,-0.152094188,171.3519228,1.379414062,0.500045049,1.789902384,0.306543854,1.297581657,0.613032476,0.005
-0.98,168.521659,0.198997487,0.001180842,-0.9175,-0.216890994,167.7626012,1.352396347,0.500044594,1.754844693,0.306543601,1.297581657,0.613032526,0.01
-0.97,165.9301323,0.243104916,0.001465104,-0.9075,-0.267884205,165.0034742,1.325653805,0.500044139,1.72014406,0.306543347,1.297581657,0.613032577,0.015
-0.96,163.7397953,0.28,0.00171003,-0.8975,-0.311977716,162.6732418,1.299186435,0.500043684,1.685800487,0.306543093,1.297581657,0.613032627,0.02
-0.95,161.8051277,0.3122499,0.00192979,-0.8875,-0.351830873,160.6165539,1.272994241,0.500043229,1.651813976,0.306542839,1.297581657,0.613032678,0.025
-0.94,160.0515564,0.341174442,0.002131653,-0.8775,-0.388802783,158.75378,1.247077222,0.500042774,1.618184527,0.306542586,1.297581657,0.613032728,0.03
-0.93,158.434815,0.367559519,0.002319942,-0.8675,-0.423699734,157.0376395,1.22143538,0.500042319,1.584912144,0.306542332,1.297581657,0.613032778,0.035
-0.92,156.9260819,0.391918359,0.002497471,-0.8575,-0.457047649,155.4373409,1.196068717,0.500041864,1.551996827,0.306542078,1.297581657,0.613032829,0.04
-0.91,155.5053515,0.414608249,0.002666199,-0.8475,-0.489213273,153.9315061,1.170977234,0.500041409,1.519438579,0.306541824,1.297581657,0.613032879,0.045
-0.9,154.1580672,0.435889894,0.002827552,-0.8375,-0.520465545,152.504576,1.146160933,0.500040954,1.487237403,0.306541571,1.297581657,0.61303293,0.05
-0.89,152.8732469,0.455960525,0.002982605,-0.8275,-0.551009697,151.1448095,1.121619817,0.500040499,1.4553933,0.306541317,1.297581657,0.61303298,0.055
-0.88,151.6423634,0.474973683,0.003132197,-0.8175,-0.581007564,149.8430882,1.097353887,0.500040044,1.423906274,0.306541063,1.297581657,0.61303303,0.06
-0.87,150.4586395,0.493051721,0.003276992,-0.8075,-0.610590367,148.592163,1.073363144,0.500039588,1.392776327,0.306540809,1.297581657,0.613033081,0.065
-0.86,149.3165829,0.510294033,0.003417531,-0.7975,-0.639867126,147.3861582,1.049647593,0.500039133,1.362003462,0.306540556,1.297581657,0.613033131,0.07
-0.85,148.2116694,0.526782688,0.003554259,-0.7875,-0.668930397,146.2202324,1.026207234,0.500038678,1.331587683,0.306540302,1.297581657,0.613033182,0.075
-0.84,147.1401196,0.542586399,0.003687549,-0.7775,-0.69786032,145.0903408,1.003042071,0.500038223,1.301528992,0.306540048,1.297581657,0.613033232,0.08
-0.83,146.098738,0.557763391,0.003817715,-0.7675,-0.726727545,143.9930624,0.980152105,0.500037768,1.271827392,0.306539794,1.297581657,0.613033282,0.085
-0.82,145.0847938,0.572363521,0.003945028,-0.7575,-0.755595407,142.9254732,0.957537341,0.500037313,1.242482889,0.306539541,1.297581657,0.613033333,0.09
-0.81,144.0959314,0.586429876,0.004069718,-0.7475,-0.784521574,141.8850507,0.93519778,0.500036858,1.213495484,0.306539287,1.297581657,0.613033383,0.095
-0.8,143.1301024,0.6,0.00419199,-0.7375,-0.813559322,140.8696004,0.913133426,0.500036403,1.184865183,0.306539033,1.297581657,0.613033434,0.1
-0.79,142.1855115,0.613106842,0.004312021,-0.7275,-0.842758546,139.8771994,0.891344281,0.500035948,1.156591989,0.306538779,1.297581657,0.613033484,0.105
-0.78,141.2605754,0.625779514,0.004429966,-0.7175,-0.87216657,138.9061509,0.86983035,0.500035493,1.128675906,0.306538526,1.297581657,0.613033534,0.11
-0.77,140.3538889,0.638043886,0.004545965,-0.7075,-0.901828814,137.9549488,0.848591634,0.500035038,1.101116939,0.306538272,1.297581657,0.613033585,0.115
-0.76,139.4641979,0.649923072,0.004660143,-0.6975,-0.931789351,137.0222491,0.827628139,0.500034583,1.073915092,0.306538018,1.297581657,0.613033635,0.12
-0.75,138.5903779,0.661437828,0.00477261,-0.6875,-0.962091386,136.1068462,0.806939867,0.500034128,1.04707037,0.306537764,1.297581657,0.613033686,0.125
-0.74,137.7314156,0.672606869,0.004883467,-0.6775,-0.992777666,135.2076536,0.786526823,0.500033673,1.020582778,0.306537511,1.297581657,0.613033736,0.13
-0.73,136.8863941,0.683447145,0.004992806,-0.6675,-1.023890854,134.3236881,0.766389009,0.500033218,0.99445232,0.306537257,1.297581657,0.613033786,0.135
-0.72,136.0544804,0.693974063,0.005100707,-0.6575,-1.05547386,133.4540564,0.746526431,0.500032763,0.968679003,0.306537003,1.297581657,0.613033837,0.14
-0.71,135.2349153,0.704201676,0.005207248,-0.6475,-1.087570155,132.597944,0.726939091,0.500032308,0.94326283,0.306536749,1.297581657,0.613033887,0.145
-0.7,134.427004,0.714142843,0.005312495,-0.6375,-1.120224067,131.7546056,0.707626995,0.500031853,0.918203808,0.306536496,1.297581657,0.613033938,0.15
-0.69,133.6301089,0.723809367,0.005416514,-0.6275,-1.153481063,130.9233573,0.688590146,0.500031398,0.893501943,0.306536242,1.297581657,0.613033988,0.155
-0.68,132.843643,0.733212111,0.005519362,-0.6175,-1.187388034,130.1035694,0.66982855,0.500030943,0.869157239,0.306535988,1.297581657,0.613034038,0.16
-0.67,132.0670648,0.742361098,0.005621092,-0.6075,-1.221993577,129.2946606,0.65134221,0.500030488,0.845169704,0.306535734,1.297581657,0.613034089,0.165
-0.66,131.2998728,0.751265599,0.005721754,-0.5975,-1.257348283,128.4960929,0.633131132,0.500030033,0.821539343,0.306535481,1.297581657,0.613034139,0.17
-0.65,130.5416019,0.759934208,0.005821395,-0.5875,-1.293505034,127.7073672,0.615195319,0.500029578,0.798266162,0.306535227,1.297581657,0.61303419,0.175
-0.64,129.7918195,0.768374908,0.005920057,-0.5775,-1.330519322,126.9280193,0.597534778,0.500029123,0.775350167,0.306534973,1.297581657,0.61303424,0.18
-0.63,129.0501225,0.776595133,0.006017779,-0.5675,-1.368449573,126.1576166,0.580149513,0.500028668,0.752791367,0.306534719,1.297581657,0.61303429,0.185
-0.62,128.3161345,0.78460181,0.0061146,-0.5575,-1.407357506,125.395755,0.56303953,0.500028212,0.730589766,0.306534466,1.297581657,0.613034341,0.19
-0.61,127.589503,0.792401413,0.006210553,-0.5475,-1.447308518,124.6420565,0.546204833,0.500027757,0.708745372,0.306534212,1.297581657,0.613034391,0.195
-0.6,126.8698976,0.8,0.006305672,-0.5375,-1.488372093,123.8961666,0.529645428,0.500027302,0.687258192,0.306533958,1.297581657,0.613034442,0.2
-0.59,126.1570082,0.807403245,0.006399987,-0.5275,-1.530622265,123.1577521,0.513361321,0.500026847,0.666128233,0.306533704,1.297581657,0.613034492,0.205
-0.58,125.4505426,0.814616474,0.006493527,-0.5175,-1.574138114,122.4265,0.497352517,0.500026392,0.645355503,0.306533451,1.297581657,0.613034542,0.21
-0.57,124.7502258,0.821644692,0.006586318,-0.5075,-1.619004319,121.7021148,0.481619023,0.500025937,0.624940009,0.306533197,1.297581657,0.613034593,0.215
-0.56,124.0557977,0.828492607,0.006678387,-0.4975,-1.665311773,120.9843179,0.466160843,0.500025482,0.604881759,0.306532943,1.297581657,0.613034643,0.22
-0.55,123.367013,0.835164654,0.006769757,-0.4875,-1.713158265,120.2728458,0.450977985,0.500025027,0.58518076,0.306532689,1.297581657,0.613034694,0.225
-0.54,122.6836388,0.841665017,0.00686045,-0.4775,-1.762649249,119.567449,0.436070453,0.500024572,0.565837021,0.306532436,1.297581657,0.613034744,0.23
-0.53,122.0054548,0.847997642,0.00695049,-0.4675,-1.813898698,118.8678912,0.421438256,0.500024117,0.54685055,0.306532182,1.297581657,0.613034795,0.235
-0.52,121.3322515,0.85416626,0.007039895,-0.4575,-1.867030077,118.1739477,0.407081398,0.500023662,0.528221354,0.306531928,1.297581657,0.613034845,0.24
-0.51,120.6638297,0.860174401,0.007128685,-0.4475,-1.922177432,117.4854051,0.392999886,0.500023207,0.509949443,0.306531674,1.297581657,0.613034895,0.245
-0.5,120,0.866025404,0.007216878,-0.4375,-1.979486637,116.8020604,0.379193728,0.500022752,0.492034826,0.306531421,1.297581657,0.613034946,0.25
-0.49,119.3405816,0.871722433,0.007304493,-0.4275,-2.039116802,116.1237199,0.365662929,0.500022297,0.47447751,0.306531167,1.297581657,0.613034996,0.255
-0.48,118.685402,0.877268488,0.007391545,-0.4175,-2.101241887,115.4501989,0.352407498,0.500021842,0.457277505,0.306530913,1.297581657,0.613035047,0.26
-0.47,118.0342965,0.882666415,0.00747805,-0.4075,-2.166052552,114.7813211,0.33942744,0.500021387,0.440434819,0.306530659,1.297581657,0.613035097,0.265
-0.46,117.3871075,0.887918915,0.007564024,-0.3975,-2.233758277,114.1169176,0.326722762,0.500020932,0.423949463,0.306530406,1.297581657,0.613035147,0.27
-0.45,116.743684,0.893028555,0.007649481,-0.3875,-2.304589819,113.4568269,0.314293473,0.500020477,0.407821446,0.306530152,1.297581657,0.613035198,0.275
-0.44,116.1038811,0.897997773,0.007734434,-0.3775,-2.378802047,112.8008944,0.30213958,0.500020022,0.392050777,0.306529898,1.297581657,0.613035248,0.28
-0.43,115.4675601,0.902828887,0.007818896,-0.3675,-2.456677245,112.1489714,0.290261089,0.500019567,0.376637465,0.306529644,1.297581657,0.613035299,0.285
-0.42,114.8345875,0.907524104,0.007902881,-0.3575,-2.538528963,111.5009154,0.278658009,0.500019112,0.361581521,0.306529391,1.297581657,0.613035349,0.29
-0.41,114.2048348,0.912085522,0.0079864,-0.3475,-2.624706539,110.8565891,0.267330348,0.500018657,0.346882956,0.306529137,1.297581657,0.613035399,0.295
-0.4,113.5781785,0.916515139,0.008069465,-0.3375,-2.715600412,110.2158608,0.256278112,0.500018202,0.332541778,0.306528883,1.297581657,0.61303545,0.3
-0.39,112.9544994,0.920814857,0.008152087,-0.3275,-2.811648417,109.5786033,0.245501311,0.500017747,0.318557998,0.306528629,1.297581657,0.6130355,0.305
-0.38,112.3336827,0.924986486,0.008234275,-0.3175,-2.913343264,108.9446941,0.234999952,0.500017292,0.304931628,0.306528376,1.297581657,0.613035551,0.31
-0.37,111.7156173,0.929031754,0.008316042,-0.3075,-3.021241477,108.314015,0.224774044,0.500016836,0.291662676,0.306528122,1.297581657,0.613035601,0.315
-0.36,111.100196,0.932952303,0.008397396,-0.2975,-3.135974128,107.6864517,0.214823595,0.500016381,0.278751156,0.306527868,1.297581657,0.613035651,0.32
-0.35,110.4873151,0.9367497,0.008478346,-0.2875,-3.258259825,107.0618938,0.205148612,0.500015926,0.266197076,0.306527614,1.297581657,0.613035702,0.325
-0.34,109.8768741,0.940425436,0.008558902,-0.2775,-3.388920489,106.4402345,0.195749106,0.500015471,0.254000449,0.306527361,1.297581657,0.613035752,0.33
-0.33,109.2687755,0.943980932,0.008639073,-0.2675,-3.52890068,105.8213703,0.186625084,0.500015016,0.242161286,0.306527107,1.297581657,0.613035803,0.335
-0.32,108.6629249,0.947417543,0.008718867,-0.2575,-3.679291428,105.2052009,0.177776556,0.500014561,0.230679598,0.306526853,1.297581657,0.613035853,0.34
-0.31,108.0592305,0.950736557,0.008798291,-0.2475,-3.841359825,104.591629,0.169203531,0.500014106,0.219555397,0.306526599,1.297581657,0.613035903,0.345
-0.3,107.4576031,0.953939201,0.008877354,-0.2375,-4.016586111,103.98056,0.160906016,0.500013651,0.208788695,0.306526346,1.297581657,0.613035954,0.35
-0.29,106.857956,0.957026645,0.008956064,-0.2275,-4.206710529,103.371902,0.152884023,0.500013196,0.198379504,0.306526092,1.297581657,0.613036004,0.355
-0.28,106.2602047,0.96,0.009034426,-0.2175,-4.413793103,102.7655658,0.145137559,0.500012741,0.188327835,0.306525838,1.297581657,0.613036055,0.36
-0.27,105.6642669,0.962860322,0.00911245,-0.2075,-4.640290709,102.1614643,0.137666635,0.500012286,0.1786337,0.306525584,1.297581657,0.613036105,0.365
-0.26,105.0700621,0.965608616,0.00919014,-0.1975,-4.889157551,101.5595127,0.13047126,0.500011831,0.169297114,0.306525331,1.297581657,0.613036155,0.37
-0.25,104.4775122,0.968245837,0.009267505,-0.1875,-5.163977795,100.9596283,0.123551444,0.500011376,0.160318087,0.306525077,1.297581657,0.613036206,0.375
-0.24,103.8865404,0.970772888,0.009344549,-0.1775,-5.469143031,100.3617305,0.116907196,0.500010921,0.151696633,0.306524823,1.297581657,0.613036256,0.38
-0.23,103.2970717,0.973190629,0.00942128,-0.1675,-5.810093306,99.76574051,0.110538526,0.500010466,0.143432764,0.306524569,1.297581657,0.613036307,0.385
-0.22,102.709033,0.975499872,0.009497703,-0.1575,-6.19364998,99.17158115,0.104445445,0.500010011,0.135526494,0.306524316,1.297581657,0.613036357,0.39
-0.21,102.1223522,0.977701386,0.009573824,-0.1475,-6.628483972,98.57917703,0.098627963,0.500009556,0.127977836,0.306524062,1.297581657,0.613036408,0.395
-0.2,101.536959,0.979795897,0.009649648,-0.1375,-7.125788343,97.9884543,0.09308609,0.500009101,0.120786802,0.306523808,1.297581657,0.613036458,0.4
-0.19,100.9527842,0.98178409,0.009725181,-0.1275,-7.700267375,97.39934057,0.087819836,0.500008646,0.113953408,0.306523554,1.297581657,0.613036508,0.405
-0.18,100.3697598,0.98366661,0.009800428,-0.1175,-8.371630725,96.81176483,0.082829212,0.500008191,0.107477666,0.306523301,1.297581657,0.613036559,0.41
-0.17,99.78781906,0.985444062,0.009875394,-0.1075,-9.16692151,96.22565734,0.078114228,0.500007736,0.101359589,0.306523047,1.297581657,0.613036609,0.415
-0.16,99.20689622,0.987117014,0.009950085,-0.0975,-10.12427707,95.6409496,0.073674896,0.500007281,0.095599193,0.306522793,1.297581657,0.61303666,0.42
-0.15,98.62692656,0.988685997,0.010024504,-0.0875,-11.29926853,95.05757422,0.069511226,0.500006826,0.090196491,0.306522539,1.297581657,0.61303671,0.425
-0.14,98.04784625,0.990151504,0.010098656,-0.0775,-12.77614843,94.47546487,0.065623229,0.500006371,0.085151498,0.306522286,1.297581657,0.61303676,0.43
-0.13,97.46959232,0.991513994,0.010172547,-0.0675,-14.68909621,93.89455622,0.062010917,0.500005916,0.080464228,0.306522032,1.297581657,0.613036811,0.435
-0.12,96.89210258,0.992773892,0.01024618,-0.0575,-17.2656329,93.31478384,0.0586743,0.50000546,0.076134695,0.306521778,1.297581657,0.613036861,0.44
-0.11,96.31531557,0.993931587,0.010319559,-0.0475,-20.92487552,92.73608415,0.05561339,0.500005005,0.072162915,0.306521524,1.297581657,0.613036912,0.445
-0.1,95.73917048,0.994987437,0.010392689,-0.0375,-26.53299832,92.15839436,0.052828199,0.50000455,0.068548902,0.306521271,1.297581657,0.613036962,0.45
-0.09,95.16360709,0.995941765,0.010465574,-0.0275,-36.2160642,91.5816524,0.050318738,0.500004095,0.065292671,0.306521017,1.297581657,0.613037012,0.455
-0.08,94.58856574,0.996794864,0.010538217,-0.0175,-56.95970649,91.00579686,0.048085019,0.50000364,0.062394238,0.306520763,1.297581657,0.613037063,0.46
-0.07,94.01398722,0.997546991,0.010610623,-0.0075,-133.0062655,90.43076692,0.046127054,0.500003185,0.059853619,0.306520509,1.297581657,0.613037113,0.465
-0.06,93.43981277,0.998198377,0.010682795,0.0025,399.2793508,89.85650232,0.044444854,0.50000273,0.057670828,0.306520256,1.297581657,0.613037164,0.47
-0.05,92.86598398,0.998749218,0.010754737,0.0125,79.89993742,89.28294327,0.043038433,0.500002275,0.055845881,0.306520002,1.297581657,0.613037214,0.475
-0.04,92.29244278,0.99919968,0.010826452,0.0225,44.40887466,88.7100304,0.041907801,0.50000182,0.054378794,0.306519748,1.297581657,0.613037264,0.48
-0.03,91.71913132,0.999549899,0.010897943,0.0325,30.7553815,88.13770474,0.041052972,0.500001365,0.053269584,0.306519494,1.297581657,0.613037315,0.485
-0.02,91.145992,0.99979998,0.010969215,0.0425,23.52470541,87.56590762,0.040473958,0.50000091,0.052518266,0.306519241,1.297581657,0.613037365,0.49
-0.01,90.57296734,0.999949999,0.01104027,0.0525,19.04666664,86.99458064,0.040170772,0.500000455,0.052124857,0.306518987,1.297581657,0.613037416,0.495
0,90,1,0.011111111,0.0625,16,86.42366563,0.040143426,0.5,0.052089373,0.306518733,1.297581657,0.613037466,0.5
0.01,89.42703266,0.999949999,0.011181742,0.0725,13.79241378,85.85310455,0.040391933,0.499999545,0.052411832,0.306518479,1.297581657,0.613037517,0.505
0.02,88.854008,0.99979998,0.011252165,0.0825,12.11878764,85.2828395,0.040916307,0.49999909,0.053092249,0.306518226,1.297581657,0.613037567,0.51
0.03,88.28086868,0.999549899,0.011322384,0.0925,10.80594485,84.71281262,0.041716559,0.499998635,0.054130642,0.306517972,1.297581657,0.613037617,0.515
0.04,87.70755722,0.99919968,0.011392401,0.1025,9.748289558,84.14296606,0.042792704,0.49999818,0.055527028,0.306517718,1.297581657,0.613037668,0.52
0.05,87.13401602,0.998749218,0.01146222,0.1125,8.877770825,83.57324193,0.044144755,0.499997725,0.057281424,0.306517464,1.297581657,0.613037718,0.525
0.06,86.56018723,0.998198377,0.011531842,0.1225,8.14855818,83.00358223,0.045772725,0.49999727,0.059393848,0.306517211,1.297581657,0.613037769,0.53
0.07,85.98601278,0.997546991,0.01160127,0.1325,7.528656539,82.43392882,0.047676627,0.499996815,0.061864317,0.306516957,1.297581657,0.613037819,0.535
0.08,85.41143426,0.996794864,0.011670508,0.1425,6.995051674,81.86422335,0.049856476,0.49999636,0.064692849,0.306516703,1.297581657,0.613037869,0.54
0.09,84.83639291,0.995941765,0.011739558,0.1525,6.530765675,81.29440722,0.052312286,0.499995905,0.067879462,0.306516449,1.297581657,0.61303792,0.545
0.1,84.26082952,0.994987437,0.011808422,0.1625,6.122999613,80.7244215,0.055044069,0.49999545,0.071424175,0.306516196,1.297581657,0.61303797,0.55
0.11,83.68468443,0.993931587,0.011877103,0.1725,5.761922245,80.15420692,0.058051841,0.499994995,0.075327005,0.306515942,1.297581657,0.613038021,0.555
0.12,83.10789742,0.992773892,0.011945602,0.1825,5.439856941,79.58370376,0.061335616,0.49999454,0.07958797,0.306515688,1.297581657,0.613038071,0.56
0.13,82.53040768,0.991513994,0.012013923,0.1925,5.150722046,79.01285184,0.064895407,0.499994084,0.08420709,0.306515434,1.297581657,0.613038121,0.565
0.14,81.95215375,0.990151504,0.012082068,0.2025,4.889637055,78.44159042,0.06873123,0.499993629,0.089184383,0.306515181,1.297581657,0.613038172,0.57
0.15,81.37307344,0.988685997,0.012150039,0.2125,4.652639984,77.86985818,0.072843098,0.499993174,0.094519867,0.306514927,1.297581657,0.613038222,0.575
0.16,80.79310378,0.987117014,0.012217838,0.2225,4.436480963,77.29759312,0.077231026,0.499992719,0.100213563,0.306514673,1.297581657,0.613038273,0.58
0.17,80.21218094,0.985444062,0.012285467,0.2325,4.238469085,76.72473252,0.08189503,0.499992264,0.106265489,0.306514419,1.297581657,0.613038323,0.585
