cosine (COM),scatter angle (COM),P0,P1,P2,P3,P4
-1.0000,180,1,-1.0000,1,-1,1
-0.99,171.8903855,1,-0.9900,0.97015,-0.9407475,0.902232544
-0.98,168.521659,1,-0.9800,0.9406,-0.88298,0.8088607
-0.97,165.9301323,1,-0.9700,0.91135,-0.8266825,0.719781044
-0.96,163.7397953,1,-0.9600,0.8824,-0.77184,0.6348912
-0.95,161.8051277,1,-0.9500,0.85375,-0.7184375,0.554089844
-0.94,160.0515564,1,-0.9400,0.8254,-0.66646,0.4772767
-0.93,158.434815,1,-0.9300,0.79735,-0.6158925,0.404352544
-0.92,156.9260819,1,-0.9200,0.7696,-0.56672,0.3352192
-0.91,155.5053515,1,-0.9100,0.74215,-0.5189275,0.269779544
-0.9,154.1580672,1,-0.9000,0.715,-0.4725,0.2079375
-0.89,152.8732469,1,-0.8900,0.68815,-0.4274225,0.149598044
-0.88,151.6423634,1,-0.8800,0.6616,-0.38368,0.0946672
-0.87,150.4586395,1,-0.8700,0.63535,-0.3412575,0.043052044
-0.86,149.3165829,1,-0.8600,0.6094,-0.30014,-0.0053393
-0.85,148.2116694,1,-0.8500,0.58375,-0.2603125,-0.050597656
-0.84,147.1401196,1,-0.8400,0.5584,-0.22176,-0.0928128
-0.83,146.098738,1,-0.8300,0.53335,-0.1844675,-0.132073456
-0.82,145.0847938,1,-0.8200,0.5086,-0.14842,-0.1684673
-0.81,144.0959314,1,-0.8100,0.48415,-0.1136025,-0.202080956
-0.8,143.1301024,1,-0.8000,0.46,-0.08,-0.233
-0.79,142.1855115,1,-0.7900,0.43615,-0.0475975,-0.261308956
-0.78,141.2605754,1,-0.7800,0.4126,-0.01638,-0.2870913
-0.77,140.3538889,1,-0.7700,0.38935,0.0136675,-0.310429456
-0.76,139.4641979,1,-0.7600,0.3664,0.04256,-0.3314048
-0.75,138.5903779,1,-0.7500,0.34375,0.0703125,-0.350097656
-0.74,137.7314156,1,-0.7400,0.3214,0.09694,-0.3665873
-0.73,136.8863941,1,-0.7300,0.29935,0.1224575,-0.380951956
-0.72,136.0544804,1,-0.7200,0.2776,0.14688,-0.3932688
-0.71,135.2349153,1,-0.7100,0.25615,0.1702225,-0.403613956
-0.7,134.427004,1,-0.7000,0.235,0.1925,-0.4120625
-0.69,133.6301089,1,-0.6900,0.21415,0.2137275,-0.418688456
-0.68,132.843643,1,-0.6800,0.1936,0.23392,-0.4235648
-0.67,132.0670648,1,-0.6700,0.17335,0.2530925,-0.426763456
-0.66,131.2998728,1,-0.6600,0.1534,0.27126,-0.4283553
-0.65,130.5416019,1,-0.6500,0.13375,0.2884375,-0.428410156
-0.64,129.7918195,1,-0.6400,0.1144,0.30464,-0.4269968
-0.63,129.0501225,1,-0.6300,0.09535,0.3198825,-0.424182956
-0.62,128.3161345,1,-0.6200,0.0766,0.33418,-0.4200353
-0.61,127.589503,1,-0.6100,0.05815,0.3475475,-0.414619456
-0.6,126.8698976,1,-0.6000,0.04,0.36,-0.408
-0.59,126.1570082,1,-0.5900,0.02215,0.3715525,-0.400240456
-0.58,125.4505426,1,-0.5800,0.0046,0.38222,-0.3914033
-0.57,124.7502258,1,-0.5700,-0.01265,0.3920175,-0.381549956
-0.56,124.0557977,1,-0.5600,-0.0296,0.40096,-0.3707408
-0.55,123.367013,1,-0.5500,-0.04625,0.4090625,-0.359035156
-0.54,122.6836388,1,-0.5400,-0.0626,0.41634,-0.3464913
-0.53,122.0054548,1,-0.5300,-0.07865,0.4228075,-0.333166456
-0.52,121.3322515,1,-0.5200,-0.0944,0.42848,-0.3191168
-0.51,120.6638297,1,-0.5100,-0.10985,0.4333725,-0.304397456
-0.5,120,1,-0.5000,-0.125,0.4375,-0.2890625
-0.49,119.3405816,1,-0.4900,-0.13985,0.4408775,-0.273164956
-0.48,118.685402,1,-0.4800,-0.1544,0.44352,-0.2567568
-0.47,118.0342965,1,-0.4700,-0.16865,0.4454425,-0.239888956
-0.46,117.3871075,1,-0.4600,-0.1826,0.44666,-0.2226113
-0.45,116.743684,1,-0.4500,-0.19625,0.4471875,-0.204972656
-0.44,116.1038811,1,-0.4400,-0.2096,0.44704,-0.1870208
-0.43,115.4675601,1,-0.4300,-0.22265,0.4462325,-0.168802456
-0.42,114.8345875,1,-0.4200,-0.2354,0.44478,-0.1503633
-0.41,114.2048348,1,-0.4100,-0.24785,0.4426975,-0.131747956
-0.4,113.5781785,1,-0.4000,-0.26,0.44,-0.113
-0.39,112.9544994,1,-0.3900,-0.27185,0.4367025,-0.094161956
-0.38,112.3336827,1,-0.3800,-0.2834,0.43282,-0.0752753
-0.37,111.7156173,1,-0.3700,-0.29465,0.4283675,-0.056380456
-0.36,111.100196,1,-0.3600,-0.3056,0.42336,-0.0375168
-0.35,110.4873151,1,-0.3500,-0.31625,0.4178125,-0.018722656
-0.34,109.8768741,1,-0.3400,-0.3266,0.41174,-3.53E-05
-0.33,109.2687755,1,-0.3300,-0.33665,0.4051575,0.018509044
-0.32,108.6629249,1,-0.3200,-0.3464,0.39808,0.0368752
-0.31,108.0592305,1,-0.3100,-0.35585,0.3905225,0.055029044
-0.3,107.4576031,1,-0.3000,-0.365,0.3825,0.0729375
-0.29,106.857956,1,-0.2900,-0.37385,0.3740275,0.090568544
-0.28,106.2602047,1,-0.2800,-0.3824,0.36512,0.1078912
-0.27,105.6642669,1,-0.2700,-0.39065,0.3557925,0.124875544
-0.26,105.0700621,1,-0.2600,-0.3986,0.34606,0.1414927
-0.25,104.4775122,1,-0.2500,-0.40625,0.3359375,0.157714844
-0.24,103.8865404,1,-0.2400,-0.4136,0.32544,0.1735152
-0.23,103.2970717,1,-0.2300,-0.42065,0.3145825,0.188868044
-0.22,102.709033,1,-0.2200,-0.4274,0.30338,0.2037487
-0.21,102.1223522,1,-0.2100,-0.43385,0.2918475,0.218133544
-0.2,101.536959,1,-0.2000,-0.44,0.28,0.232
-0.19,100.9527842,1,-0.1900,-0.44585,0.2678525,0.245326544
-0.18,100.3697598,1,-0.1800,-0.4514,0.25542,0.2580927
-0.17,99.78781906,1,-0.1700,-0.45665,0.2427175,0.270279044
-0.16,99.20689622,1,-0.1600,-0.4616,0.22976,0.2818672
-0.15,98.62692656,1,-0.1500,-0.46625,0.2165625,0.292839844
-0.14,98.04784625,1,-0.1400,-0.4706,0.20314,0.3031807
-0.13,97.46959232,1,-0.1300,-0.47465,0.1895075,0.312874544
-0.12,96.89210258,1,-0.1200,-0.4784,0.17568,0.3219072
-0.11,96.31531557,1,-0.1100,-0.48185,0.1616725,0.330265544
-0.1,95.73917048,1,-0.1000,-0.485,0.1475,0.3379375
-0.09,95.16360709,1,-0.0900,-0.48785,0.1331775,0.344912044
-0.08,94.58856574,1,-0.0800,-0.4904,0.11872,0.3511792
-0.07,94.01398722,1,-0.0700,-0.49265,0.1041425,0.356730044
-0.06,93.43981277,1,-0.0600,-0.4946,0.08946,0.3615567
-0.05,92.86598398,1,-0.0500,-0.49625,0.0746875,0.365652344
-0.04,92.29244278,1,-0.0400,-0.4976,0.05984,0.3690112
-0.03,91.71913132,1,-0.0300,-0.49865,0.0449325,0.371628544
-0.02,91.145992,1,-0.0200,-0.4994,0.02998,0.3735007
-0.01,90.57296734,1,-0.0100,-0.49985,0.0149975,0.374625044
0,90,1,0.0000,-0.5,0,0.375
0.01,89.42703266,1,0.0100,-0.49985,-0.0149975,0.374625044
0.02,88.854008,1,0.0200,-0.4994,-0.02998,0.3735007
0.03,88.28086868,1,0.0300,-0.49865,-0.0449325,0.371628544
0.04,87.70755722,1,0.0400,-0.4976,-0.05984,0.3690112
0.05,87.13401602,1,0.0500,-0.49625,-0.0746875,0.365652344
0.06,86.56018723,1,0.0600,-0.4946,-0.08946,0.3615567
0.07,85.98601278,1,0.0700,-0.49265,-0.1041425,0.356730044
0.08,85.41143426,1,0.0800,-0.4904,-0.11872,0.3511792
0.09,84.83639291,1,0.0900,-0.48785,-0.1331775,0.344912044
0.1,84.26082952,1,0.1000,-0.485,-0.1475,0.3379375
0.11,83.68468443,1,0.1100,-0.48185,-0.1616725,0.330265544
0.12,83.10789742,1,0.1200,-0.4784,-0.17568,0.3219072
0.13,82.53040768,1,0.1300,-0.47465,-0.1895075,0.312874544
0.14,81.95215375,1,0.1400,-0.4706,-0.20314,0.3031807
0.15,81.37307344,1,0.1500,-0.46625,-0.2165625,0.292839844
0.16,80.79310378,1,0.1600,-0.4616,-0.22976,0.2818672
0.17,80.21218094,1,0.1700,-0.45665,-0.2427175,0.270279044
0.18,79.63024019,1,0.1800,-0.4514,-0.25542,0.2580927
0.19,79.0472158,1,0.1900,-0.44585,-0.2678525,0.245326544
0.2,78.46304097,1,0.2000,-0.44,-0.28,0.232
0.21,77.87764776,1,0.2100,-0.43385,-0.2918475,0.218133544
0.22,77.29096701,1,0.2200,-0.4274,-0.30338,0.2037487
0.23,76.70292825,1,0.2300,-0.42065,-0.3145825,0.188868044
0.24,76.11345964,1,0.2400,-0.4136,-0.32544,0.1735152
0.25,75.52248781,1,0.2500,-0.40625,-0.3359375,0.157714844
0.26,74.92993786,1,0.2600,-0.3986,-0.34606,0.1414927
0.27,74.33573315,1,0.2700,-0.39065,-0.3557925,0.124875544
0.28,73.73979529,1,0.2800,-0.3824,-0.36512,0.1078912
0.29,73.14204398,1,0.2900,-0.37385,-0.3740275,0.090568544
0.3,72.54239688,1,0.3000,-0.365,-0.3825,0.0729375
0.31,71.94076951,1,0.3100,-0.35585,-0.3905225,0.055029044
0.32,71.33707512,1,0.3200,-0.3464,-0.39808,0.0368752
0.33,70.73122451,1,0.3300,-0.33665,-0.4051575,0.018509044
0.34,70.12312593,1,0.3400,-0.3266,-0.41174,-3.53E-05
0.35,69.51268489,1,0.3500,-0.31625,-0.4178125,-0.018722656
0.36,68.89980398,1,0.3600,-0.3056,-0.42336,-0.0375168
0.37,68.28438272,1,0.3700,-0.29465,-0.4283675,-0.056380456
0.38,67.66631734,1,0.3800,-0.2834,-0.43282,-0.0752753
0.39,67.0455006,1,0.3900,-0.27185,-0.4367025,-0.094161956
0.4,66.42182152,1,0.4000,-0.26,-0.44,-0.113
0.41,65.7951652,1,0.4100,-0.24785,-0.4426975,-0.131747956
0.42,65.16541251,1,0.4200,-0.2354,-0.44478,-0.1503633
0.43,64.53243986,1,0.4300,-0.22265,-0.4462325,-0.168802456
0.44,63.89611886,1,0.4400,-0.2096,-0.44704,-0.1870208
0.45,63.25631605,1,0.4500,-0.19625,-0.4471875,-0.204972656
0.46,62.6128925,1,0.4600,-0.1826,-0.44666,-0.2226113
0.47,61.96570347,1,0.4700,-0.16865,-0.4454425,-0.239888956
0.48,61.31459799,1,0.4800,-0.1544,-0.44352,-0.2567568
0.49,60.65941842,1,0.4900,-0.13985,-0.4408775,-0.273164956
0.5,60,1,0.5000,-0.125,-0.4375,-0.2890625
0.51,59.33617026,1,0.5100,-0.10985,-0.4333725,-0.304397456
0.52,58.6677485,1,0.5200,-0.0944,-0.42848,-0.3191168
0.53,57.99454517,1,0.5300,-0.07865,-0.4228075,-0.333166456
0.54,57.31636115,1,0.5400,-0.0626,-0.41634,-0.3464913
0.55,56.63298703,1,0.5500,-0.04625,-0.4090625,-0.359035156
0.56,55.94420226,1,0.5600,-0.0296,-0.40096,-0.3707408
0.57,55.24977425,1,0.5700,-0.01265,-0.3920175,-0.381549956
0.58,54.54945736,1,0.5800,0.0046,-0.38222,-0.3914033
0.59,53.8429918,1,0.5900,0.02215,-0.3715525,-0.400240456
0.6,53.13010235,1,0.6000,0.04,-0.36,-0.408
0.61,52.41049704,1,0.6100,0.05815,-0.3475475,-0.414619456
0.62,51.68386553,1,0.6200,0.0766,-0.33418,-0.4200353
0.63,50.94987746,1,0.6300,0.09535,-0.3198825,-0.424182956
0.64,50.2081805,1,0.6400,0.1144,-0.30464,-0.4269968
0.65,49.45839813,1,0.6500,0.13375,-0.2884375,-0.428410156
0.66,48.70012721,1,0.6600,0.1534,-0.27126,-0.4283553
0.67,47.9329352,1,0.6700,0.17335,-0.2530925,-0.426763456
0.68,47.15635696,1,0.6800,0.1936,-0.23392,-0.4235648
0.69,46.36989113,1,0.6900,0.21415,-0.2137275,-0.418688456
0.7,45.572996,1,0.7000,0.235,-0.1925,-0.4120625
0.71,44.76508467,1,0.7100,0.25615,-0.1702225,-0.403613956
0.72,43.94551956,1,0.7200,0.2776,-0.14688,-0.3932688
0.73,43.11360595,1,0.7300,0.29935,-0.1224575,-0.380951956
0.74,42.26858443,1,0.7400,0.3214,-0.09694,-0.3665873
0.75,41.40962211,1,0.7500,0.34375,-0.0703125,-0.350097656
0.76,40.53580211,1,0.7600,0.3664,-0.04256,-0.3314048
0.77,39.64611115,1,0.7700,0.38935,-0.0136675,-0.310429456
0.78,38.7394246,1,0.7800,0.4126,0.01638,-0.2870913
0.79,37.81448851,1,0.7900,0.43615,0.0475975,-0.261308956
0.8,36.86989765,1,0.8000,0.46,0.08,-0.233
0.81,35.90406858,1,0.8100,0.48415,0.1136025,-0.202080956
0.82,34.91520625,1,0.8200,0.5086,0.14842,-0.1684673
0.83,33.901262,1,0.8300,0.53335,0.1844675,-0.132073456
0.84,32.85988038,1,0.8400,0.5584,0.22176,-0.0928128
0.85,31.78833062,1,0.8500,0.58375,0.2603125,-0.050597656
0.86,30.68341711,1,0.8600,0.6094,0.30014,-0.0053393
0.87,29.5413605,1,0.8700,0.63535,0.3412575,0.043052044
0.88,28.35763658,1,0.8800,0.6616,0.38368,0.0946672
0.89,27.12675312,1,0.8900,0.68815,0.4274225,0.149598044
